0,1
मैं,MAIN
गुजरात,GUJARAT
में,ME
अहमदाबाद,AHMADABAD
से,SE
हूँ,HUN
मेरा,MERA
पूरा,POORA
बचपन,BACHPAN
उसी,USI
सिटी,CITY
बीता,BEETA
है,HAI
फिर,FIR
के,KE
बाद,BAD
बाहर,BAHAR
निकल,NIKAL
गया,GAYA
का,KA
एक,EK
छोटा,CHOTA
सा,SA
घर,GHAR
भी,BHI
कम्पनी,COMPANY
हाय,HI
कॉलोनी,COLONY
बहुत,BAHUT
ग्रीन,GREEN
वो,VO
स्टुपिड,STUPID
पार्क,PARK
वाले,WALE
काफी,KAFI
अच्छा,ACHCHA
लाइफ,LIFE
घूमने,GHUMNE
शौक,SHAUK
लम्बी,LAMBI
ट्रिप,TRIP
पर,PAR
जाना,JAANA
ले,LE
कर,KAR
बाइक,BIKE
हो,HO
तो,TO
चलेगा,CHALEGA
इंडिया,INDIA
निकालना,NIKALNA
यूरोप,YUROP
साथ,SAATH
बस,BAS
खाना,KHANA
मिलना,MILNA
कोई,KOI
पेन,PEN
नहीं,NAHI
यार,YAR
क्या,KYA
कहें,KAHEN
काम,KAM
सोना,SONA
कुछ,KUCH
वातावरण,VATAVARAN
यहाँ,YAHAN
लेकिन,LEKIN
समर,SAMAR
मुश्किल,MUSHKIL
जीना,JEENA
अब,AB
आजकी,AAJKI
घटिया,GHATIYA
वैसे,VAISE
आना,AANA
लगता,LAGTA
अभी,ABHI
बेड,BED
उठने,UTHNE
मन,MAN
करता,KARTA
इस,IS
साल,SAAL
ज्यादा,JYADA
नही,NAHI
हुई,HUI
ये,YE
अच्छी,ACHCHI
इसमें,ISME
बंदा,BANDA
मास्क,MASK
रहता,RAHATA
सभी,SABHI
लोग,LOG
जो,JO
करते,KARTE
हैं,HAIN
कैदी,KAIDI
उसका,USKA
नाम,NAAM
लेजेन्ड,LEGEND
बन,BAN
जाता,JATA
मर,MAR
की,KI
किसी,KISI
बेचारे,BECHARE
बंदे,BANDE
को,KO
करके,KARKE
उसे,USE
बना,BANA
देती,DETI
कि,KI
कैसे,KAISE
पार,PAAR
